21313.020082971718 |[-5.859375, -14.6484375, -20.99609375, 7.8125, 287.109375]|
21313.023724946834 |[-40.52734375, -369.140625, -48.828125, -51.26953125, 229.00390625]|
21313.02736692195 |[-35.64453125, -364.2578125, -44.921875, -72.75390625, -10.25390625]|
21313.031008897065 |[-9.765625, -142.578125, -11.23046875, -19.53125, 51.26953125]|
21313.03465087218 |[13.18359375, -87.890625, -6.8359375, -1.46484375, 277.34375]|
21313.038292847297 |[6.8359375, -381.8359375, -62.98828125, -54.19921875, 168.9453125]|
21313.041934822413 |[-28.80859375, -714.35546875, -87.890625, -96.6796875, 3.90625]|
21313.04557679753 |[-14.16015625, -670.8984375, -47.8515625, -58.10546875, -49.8046875]|
21313.049218772645 |[-5.37109375, -670.41015625, -35.64453125, 29.78515625, 236.328125]|
21313.05286074776 |[-62.98828125, -718.75, -45.8984375, 22.4609375, 420.41015625]|
21313.056502722877 |[-62.5, -578.125, -41.50390625, -50.78125, 16.11328125]|
21313.060144697993 |[-2.44140625, -550.29296875, -50.29296875, -36.1328125, -143.5546875]|
21313.06378667311 |[38.57421875, -820.80078125, -62.98828125, 39.0625, 307.12890625]|
21313.067428648224 |[35.64453125, -476.07421875, -2.9296875, 14.6484375, 436.03515625]|
21313.07107062334 |[-39.0625, -25.87890625, -2.44140625, -71.77734375, -35.15625]|
21313.074712598456 |[-61.5234375, -387.20703125, -63.4765625, -83.0078125, -179.6875]|
21313.078354573572 |[-23.4375, -391.11328125, -29.78515625, -24.4140625, 34.1796875]|
21313.081996548688 |[-14.6484375, -150.87890625, -10.25390625, 4.8828125, 240.72265625]|
21313.085638523804 |[-54.6875, -292.48046875, -41.015625, -53.22265625, 128.41796875]|
21313.08928049892 |[-64.453125, -687.98828125, -90.33203125, -85.9375, -82.03125]|
21313.096953414522 |[-25.390625, -843.75, -81.54296875, -13.18359375, 227.05078125]|
21313.099677384693 |[-4.8828125, -95.703125, 23.4375, 19.53125, 272.94921875]|
21313.102401354863 |[-10.7421875, 267.578125, 8.7890625, -16.6015625, 55.17578125]|
21313.105125325033 |[-30.76171875, -407.71484375, -85.9375, -55.17578125, -72.75390625]|
21313.107849295204 |[-21.97265625, -641.6015625, -58.59375, -48.828125, 22.4609375]|
21313.110573265374 |[17.578125, 67.87109375, 19.04296875, 9.27734375, 181.15234375]|
21313.113297235544 |[16.11328125, 122.0703125, -24.4140625, -7.32421875, 154.78515625]|
21313.116021205715 |[-30.76171875, -572.75390625, -110.83984375, -91.796875, 24.90234375]|
21313.118745175885 |[-22.4609375, -676.26953125, -77.63671875, -67.87109375, -25.390625]|
21313.121469146055 |[-12.6953125, -288.57421875, -9.765625, 15.13671875, 149.4140625]|
21313.124193116226 |[-5.37109375, -178.22265625, -20.99609375, -0.48828125, 278.80859375]|
21313.126917086396 |[-22.94921875, -623.53515625, -95.21484375, -41.50390625, 330.56640625]|
21313.129641056566 |[-68.359375, -832.03125, -90.33203125, -52.734375, 183.10546875]|
21313.132365026737 |[-18.5546875, -270.01953125, -14.16015625, -13.671875, 27.34375]|
21313.135088996907 |[8.7890625, -124.0234375, -22.4609375, 27.34375, 239.74609375]|
21313.137812967077 |[-20.5078125, -619.62890625, -83.49609375, -24.90234375, 333.0078125]|
21313.140536937248 |[-49.31640625, -640.13671875, -62.98828125, -100.09765625, 9.27734375]|
21313.143260907418 |[-47.36328125, -103.02734375, -0.9765625, -77.63671875, -83.0078125]|
21313.14598487759 |[-17.578125, 114.74609375, 2.44140625, -7.8125, 148.92578125]|
21313.14870884776 |[-49.8046875, -28.3203125, -24.4140625, -20.99609375, 191.40625]|
21313.169969968632 |[-68.84765625, -345.703125, -73.73046875, -92.7734375, -47.8515625]|
21313.17367874248 |[-16.11328125, -572.75390625, -71.2890625, -74.70703125, -122.0703125]|
21313.17738751633 |[29.296875, -422.36328125, -28.3203125, 14.6484375, 192.87109375]|
21313.18109629018 |[-15.13671875, -823.2421875, -90.8203125, 20.5078125, 514.16015625]|
21313.18480506403 |[-59.08203125, -883.7890625, -67.87109375, -53.7109375, 176.26953125]|
21313.18851383788 |[-30.2734375, -437.5, -27.34375, -72.75390625, -243.65234375]|
21313.192222611728 |[6.34765625, -270.99609375, -38.0859375, -29.296875, -64.94140625]|
21313.195931385577 |[-11.71875, -63.4765625, -6.8359375, -28.80859375, 77.1484375]|
21313.199640159426 |[-60.05859375, -79.58984375, -21.97265625, -83.49609375, -89.84375]|
21313.203348933275 |[-54.19921875, -431.15234375, -71.77734375, -73.2421875, -274.90234375]|
21313.207057707124 |[-19.04296875, -568.84765625, -59.08203125, -17.08984375, -120.1171875]|
21313.210766480974 |[-44.43359375, -130.37109375, 5.37109375, -40.52734375, 137.6953125]|
21313.214475254823 |[-79.58984375, -50.29296875, -23.92578125, -120.1171875, 48.828125]|
21313.218184028672 |[-115.72265625, -678.22265625, -99.609375, -201.171875, -134.27734375]|
21313.22189280252 |[-105.46875, -1000.0, -118.65234375, -185.05859375, 78.61328125]|
21313.22560157637 |[-121.58203125, -810.546875, -53.22265625, -112.79296875, 385.7421875]|
21313.22931035022 |[-198.73046875, -266.11328125, 17.08984375, -169.43359375, 106.4453125]|
21313.23301912407 |[-263.18359375, -410.64453125, -46.875, -259.27734375, -203.125]|
21313.236727897918 |[-248.046875, -999.0234375, -104.98046875, -250.9765625, 61.03515625]|
21313.240436671767 |[-212.890625, -738.28125, -15.13671875, -194.82421875, 243.65234375]|
21313.257666862486 |[-237.79296875, -51.26953125, 62.01171875, -213.8671875, 32.71484375]|
