21323.770419537817 |[106.93359375, -1000.0, -461.9140625, 81.54296875, -299.8046875]|
21323.774000828387 |[83.984375, -1000.0, -490.72265625, 71.77734375, -436.5234375]|
21323.777582118957 |[68.84765625, -1000.0, -594.7265625, 105.95703125, -140.625]|
21323.781163409527 |[69.3359375, -1000.0, -585.44921875, 123.53515625, 285.64453125]|
21323.784744700097 |[84.47265625, -1000.0, -428.7109375, 89.35546875, 38.57421875]|
21323.788325990667 |[82.51953125, -1000.0, -498.53515625, 44.43359375, -219.23828125]|
21323.791907281236 |[62.01171875, -1000.0, -624.0234375, 56.640625, -19.04296875]|
21323.795488571806 |[51.7578125, -1000.0, -551.26953125, 73.2421875, 100.5859375]|
21323.799069862376 |[61.5234375, -1000.0, -424.8046875, 28.3203125, -130.37109375]|
21323.802651152946 |[93.26171875, -1000.0, -462.890625, -8.7890625, -257.32421875]|
21323.806232443516 |[28.3203125, -1000.0, -591.30859375, 1.46484375, -61.03515625]|
21323.809813734086 |[20.5078125, -1000.0, -500.48828125, 19.53125, 11.71875]|
21323.802519693083 |[86.42578125, -1000.0, -390.13671875, -0.48828125, -78.125]|
21323.806185866637 |[67.3828125, -1000.0, -427.24609375, -28.80859375, -197.75390625]|
21323.80985204019 |[57.12890625, -1000.0, -437.5, 1.46484375, -242.1875]|
21323.813518213745 |[64.453125, -1000.0, -415.52734375, 35.64453125, -166.015625]|
21323.8171843873 |[81.0546875, -1000.0, -388.18359375, 30.2734375, -159.66796875]|
21323.820850560853 |[118.1640625, -1000.0, -442.87109375, 18.06640625, -86.42578125]|
21323.824516734407 |[92.7734375, -1000.0, -486.81640625, 25.390625, -44.921875]|
21323.82818290796 |[32.71484375, -1000.0, -379.8828125, 53.7109375, -96.19140625]|
21323.831849081515 |[66.40625, -1000.0, -316.89453125, 55.6640625, -33.69140625]|
21323.83551525507 |[95.703125, -1000.0, -401.3671875, 47.8515625, 121.58203125]|
21323.839181428622 |[32.2265625, -1000.0, -469.7265625, 36.62109375, 320.3125]|
21323.842847602176 |[14.6484375, -1000.0, -326.66015625, 18.06640625, 32.71484375]|
21323.84651377573 |[32.2265625, -1000.0, -267.08984375, 42.96875, -63.4765625]|
21323.850179949284 |[84.47265625, -1000.0, -312.01171875, 56.640625, 87.890625]|
21323.853846122838 |[77.1484375, -1000.0, -226.5625, 12.6953125, -40.52734375]|
21323.857512296392 |[38.57421875, -1000.0, -169.921875, 7.32421875, -261.23046875]|
21323.861178469946 |[44.43359375, -1000.0, -181.15234375, 45.41015625, -134.27734375]|
21323.8648446435 |[73.73046875, -1000.0, -217.7734375, 56.15234375, 140.625]|
21323.868510817054 |[94.7265625, -1000.0, -187.01171875, 20.5078125, -1.953125]|
21323.872176990608 |[68.359375, -1000.0, -109.86328125, 2.9296875, -182.12890625]|
21323.878183187313 |[62.98828125, -1000.0, -150.390625, 44.921875, -159.66796875]|
