189969.98635353273 |[-647.4609375, -362.3046875, -232.91015625, 351.5625, -184.5703125]|
189969.99022038694 |[931.640625, -930.17578125, -827.63671875, -621.58203125, -869.140625]|
189969.99408724115 |[878.90625, 872.0703125, 726.07421875, -1000.0, 840.33203125]|
189969.99795409536 |[-790.0390625, -740.72265625, -837.890625, -370.60546875, -748.53515625]|
189970.00182094958 |[-996.58203125, -960.9375, -928.22265625, 339.84375, -905.2734375]|
189970.0056878038 |[698.73046875, 772.94921875, 735.3515625, -376.46484375, 839.84375]|
189970.009554658 |[-955.56640625, -987.79296875, -968.75, -1000.0, 989.2578125]|
189970.0134215122 |[-604.4921875, -684.5703125, -641.11328125, -671.875, -703.61328125]|
189970.01728836642 |[-1000.0, -1000.0, -1000.0, 259.27734375, -1000.0]|
189970.02115522063 |[470.703125, 601.07421875, 644.04296875, -8.30078125, 625.9765625]|
189970.02502207484 |[-878.90625, -859.375, -926.26953125, -973.6328125, -856.4453125]|
189970.02888892905 |[-233.3984375, -310.546875, -496.58203125, -941.40625, -373.53515625]|
189970.03275578326 |[-1000.0, -1000.0, -1000.0, 65.91796875, -1000.0]|
189970.03662263748 |[-383.30078125, 79.1015625, 123.53515625, 200.1953125, 306.640625]|
189970.0404894917 |[969.23828125, -828.125, -833.0078125, -823.2421875, -780.76171875]|
189970.0443563459 |[214.35546875, 454.1015625, 632.32421875, -1000.0, 377.44140625]|
189970.0454274153 |[-1000.0, -1000.0, -928.7109375, -154.78515625, -1000.0]|
189970.0492066478 |[-909.1796875, -714.35546875, -514.6484375, 335.44921875, -290.0390625]|
189970.0529858803 |[693.84765625, 914.55078125, -929.6875, -535.64453125, -910.15625]|
189970.0567651128 |[877.9296875, 937.5, 790.52734375, -1000.0, 868.65234375]|
189970.0605443453 |[-820.80078125, -736.328125, -825.68359375, -430.6640625, -718.26171875]|
189970.0643235778 |[-1000.0, -1000.0, -1000.0, 396.97265625, -986.81640625]|
189970.0681028103 |[565.4296875, 682.12890625, 667.48046875, -195.80078125, 737.3046875]|
189970.0718820428 |[969.23828125, -941.89453125, -927.24609375, -1000.0, -960.44921875]|
189970.0756612753 |[-615.234375, -625.0, -605.46875, -738.76953125, -652.34375]|
189970.0794405078 |[-1000.0, -1000.0, -1000.0, 268.5546875, -1000.0]|
189970.0832197403 |[-138.18359375, 530.76171875, 598.6328125, 75.68359375, 569.82421875]|
189970.0869989728 |[911.62109375, -813.4765625, -866.2109375, -942.87109375, -800.78125]|
189970.0907782053 |[-375.9765625, -25.390625, -168.9453125, -980.95703125, -78.61328125]|
189970.0945574378 |[-1000.0, -1000.0, -1000.0, 28.80859375, -1000.0]|
189970.09833667031 |[-706.0546875, -51.7578125, 51.7578125, 245.1171875, 209.47265625]|
189970.10211590282 |[793.45703125, -852.05078125, -841.796875, -772.94921875, -825.1953125]|
189970.10589513532 |[418.9453125, 668.45703125, 684.5703125, -1000.0, 767.08984375]|
189970.10967436782 |[-1000.0, -916.9921875, -884.765625, -224.609375, -792.96875]|
189970.11345360032 |[-906.73828125, -831.0546875, -731.4453125, 356.4453125, -806.15234375]|
