190658.07469957173 |[-937.5, -193.84765625, -167.48046875, 34.66796875, 400.87890625]|
190658.0784000542 |[-1000.0, -199.70703125, -189.94140625, 4.8828125, -155.76171875]|
190658.08210053665 |[-556.15234375, -176.7578125, -219.23828125, -102.05078125, -272.4609375]|
190658.0858010191 |[-57.12890625, -168.45703125, -179.6875, -97.16796875, 203.61328125]|
190658.08950150156 |[-708.0078125, -182.6171875, -143.06640625, 31.25, 367.67578125]|
190658.093201984 |[-1000.0, -179.19921875, -145.5078125, 23.92578125, -115.72265625]|
190658.09690246647 |[-720.21484375, -196.2890625, -155.76171875, -87.40234375, -103.02734375]|
190658.10060294892 |[128.90625, -202.1484375, -164.0625, -101.07421875, 345.21484375]|
190658.10430343138 |[-193.84765625, -182.6171875, -182.12890625, -1.46484375, 337.890625]|
190658.10800391383 |[-1000.0, -190.4296875, -187.01171875, 57.6171875, -4.39453125]|
190658.1117043963 |[-822.75390625, -210.9375, -172.8515625, -20.5078125, -466.796875]|
190658.11540487874 |[226.5625, -194.82421875, -149.90234375, -84.9609375, -230.95703125]|
190658.1191053612 |[103.515625, -168.9453125, -147.94921875, -11.23046875, 228.02734375]|
190658.12280584365 |[-939.453125, -167.96875, -177.734375, 54.6875, 199.21875]|
190658.1265063261 |[-985.83984375, -173.33984375, -182.12890625, -19.53125, -168.45703125]|
190658.13020680856 |[133.7890625, -175.29296875, -179.19921875, -104.00390625, -370.60546875]|
190658.14246245916 |[602.5390625, -175.78125, -191.40625, -41.50390625, 61.5234375]|
190658.14687433586 |[-481.4453125, -173.33984375, -219.23828125, 66.40625, 320.3125]|
190658.15128621255 |[-1000.0, -178.7109375, -235.3515625, 52.734375, -134.765625]|
190658.15569808925 |[-129.8828125, -170.41015625, -219.7265625, -68.359375, -466.30859375]|
190658.16010996595 |[747.55859375, -166.9921875, -219.23828125, -71.2890625, -81.54296875]|
190658.16452184264 |[-79.1015625, -185.05859375, -226.5625, 54.6875, 305.6640625]|
190658.16893371934 |[-1000.0, -180.6640625, -226.07421875, 72.75390625, 0.9765625]|
190658.17334559603 |[-446.77734375, -171.38671875, -224.12109375, -44.921875, -583.0078125]|
190658.17775747273 |[692.87109375, -168.9453125, -221.6796875, -71.2890625, -371.09375]|
190658.18216934943 |[300.29296875, -164.55078125, -220.21484375, 38.57421875, 52.734375]|
190658.18658122612 |[-926.7578125, -170.41015625, -212.890625, 79.1015625, -186.03515625]|
190658.19099310282 |[-772.4609375, -175.29296875, -216.796875, -38.0859375, -633.7890625]|
190658.19540497952 |[488.28125, -172.8515625, -222.65625, -107.421875, -414.55078125]|
190658.1998168562 |[491.69921875, -182.6171875, -213.8671875, -13.18359375, 112.79296875]|
190658.2042287329 |[-770.5078125, -180.17578125, -204.1015625, 73.73046875, 45.41015625]|
190658.2086406096 |[-1000.0, -175.78125, -203.61328125, -4.8828125, -496.09375]|
190658.2130524863 |[135.25390625, -174.31640625, -211.9140625, -105.46875, -559.08203125]|
190658.217464363 |[667.96875, -176.26953125, -224.12109375, -52.734375, 255.37109375]|
190658.2218762397 |[-420.8984375, -181.640625, -224.609375, 60.546875, 435.05859375]|
190658.2262881164 |[-1000.0, -175.29296875, -214.84375, 30.2734375, -397.4609375]|
190658.2252086668 |[-248.53515625, -178.22265625, -218.75, -90.8203125, -693.84765625]|
190658.22908807523 |[704.58984375, -179.6875, -227.05078125, -92.28515625, -146.484375]|
190658.23296748367 |[-22.4609375, -176.26953125, -231.93359375, 32.71484375, 188.96484375]|
190658.2368468921 |[-1000.0, -182.6171875, -244.62890625, 48.33984375, -368.65234375]|
190658.24072630054 |[-453.125, -185.05859375, -253.90625, -80.078125, -593.26171875]|
190658.24460570898 |[685.05859375, -190.4296875, -257.32421875, -131.34765625, -88.37890625]|
190658.24848511742 |[267.08984375, -206.54296875, -263.18359375, -36.1328125, 102.5390625]|
190658.25236452586 |[-923.33984375, -202.1484375, -274.90234375, 5.859375, -317.87109375]|
190658.2562439343 |[-937.98828125, -198.73046875, -296.38671875, -74.21875, -558.10546875]|
190658.26012334274 |[143.06640625, -197.265625, -314.453125, -117.1875, -182.12890625]|
190658.26400275118 |[299.31640625, -186.5234375, -316.40625, -53.22265625, 68.359375]|
190658.26788215962 |[-797.8515625, -195.80078125, -341.30859375, 23.92578125, -87.40234375]|
190658.27176156806 |[-1000.0, -200.1953125, -385.7421875, -38.0859375, -550.78125]|
190658.2756409765 |[-83.49609375, -181.15234375, -418.45703125, -150.87890625, -542.48046875]|
190658.27952038494 |[342.28515625, -194.82421875, -448.2421875, -131.34765625, -145.99609375]|
190658.28339979338 |[-663.57421875, -229.00390625, -489.74609375, -26.85546875, -69.82421875]|
190658.28727920182 |[-1000.0, -212.40234375, -543.45703125, -46.38671875, -462.890625]|
190658.29115861026 |[-684.5703125, -174.8046875, -589.84375, -181.640625, -620.60546875]|
190658.2950380187 |[27.34375, -164.0625, -623.046875, -196.2890625, -199.21875]|
190658.29891742714 |[-567.87109375, -165.52734375, -654.296875, -82.03125, 213.8671875]|
190658.30772236278 |[-1000.0, -186.03515625, -716.30859375, -58.10546875, 81.0546875]|
190658.31212211802 |[-624.0234375, -199.70703125, -793.45703125, -163.57421875, -382.32421875]|
190658.31652187326 |[294.921875, -182.12890625, -828.61328125, -208.984375, -331.54296875]|
190658.3209216285 |[39.0625, -154.296875, -859.86328125, -110.83984375, 271.484375]|
190658.32532138375 |[-940.91796875, -148.4375, -884.765625, -23.4375, 213.8671875]|
190658.329721139 |[-1000.0, -144.53125, -895.99609375, -118.65234375, -390.625]|
