190700.82521023287 |[-335.44921875, -218.75, -66.40625, -58.10546875, -423.828125]|
190700.82897769308 |[-1000.0, -1000.0, -75.1953125, -36.1328125, -399.90234375]|
190700.83274515328 |[111.81640625, -462.40234375, -30.2734375, -26.85546875, 177.24609375]|
190700.8365126135 |[-901.85546875, 780.76171875, -8.7890625, -43.9453125, 250.9765625]|
190700.8402800737 |[206.54296875, 456.0546875, -45.8984375, -75.1953125, -421.38671875]|
190700.8440475339 |[-1000.0, -903.80859375, -96.6796875, -66.89453125, -550.29296875]|
190700.8478149941 |[-492.1875, -944.82421875, -75.1953125, -41.50390625, 293.9453125]|
190700.8515824543 |[949.21875, 198.73046875, -29.78515625, -52.24609375, 523.92578125]|
190700.85534991452 |[714.35546875, -12.6953125, -55.17578125, -56.640625, -222.65625]|
190700.85911737473 |[-871.58203125, -985.83984375, -100.5859375, -70.80078125, -558.10546875]|
190700.86288483493 |[-899.90234375, -929.6875, -77.1484375, -46.875, -146.484375]|
190700.86665229514 |[743.65234375, -155.2734375, -25.87890625, -16.11328125, 282.2265625]|
190700.87048060424 |[-991.69921875, 341.796875, -10.25390625, -3.41796875, -129.8828125]|
190700.87427993555 |[-607.421875, -118.65234375, -41.50390625, -10.7421875, -596.19140625]|
190700.87807926687 |[-1000.0, -1000.0, -81.0546875, -41.9921875, -92.28515625]|
190700.8818785982 |[449.70703125, -488.28125, -45.41015625, -39.0625, 320.80078125]|
190700.8856779295 |[-892.08984375, 844.23828125, -10.25390625, -46.38671875, -75.68359375]|
190700.88947726082 |[-204.1015625, 140.13671875, -65.91796875, -73.73046875, -502.9296875]|
190700.89327659213 |[-1000.0, -1000.0, -107.421875, -56.15234375, -86.9140625]|
190700.89707592345 |[-43.9453125, -1000.0, -71.2890625, -31.25, 335.44921875]|
190700.90087525477 |[-923.828125, 383.7890625, -13.671875, -45.8984375, 19.53125]|
190700.90467458608 |[368.1640625, 885.7421875, -41.9921875, -64.453125, -429.6875]|
190700.9084739174 |[-996.58203125, -704.1015625, -97.16796875, -74.70703125, -545.41015625]|
190700.91227324872 |[-645.5078125, -873.046875, -72.265625, -58.59375, -112.79296875]|
190700.91607258003 |[890.625, 694.82421875, -17.578125, -41.9921875, 170.8984375]|
190700.91987191135 |[796.875, 901.85546875, -34.1796875, -53.22265625, -209.47265625]|
190700.92367124266 |[-831.54296875, -592.28515625, -78.61328125, -43.9453125, -527.83203125]|
190700.92747057398 |[-984.86328125, -1000.0, -68.84765625, -20.01953125, -130.37109375]|
190700.9312699053 |[661.1328125, 283.203125, -15.13671875, -6.34765625, 219.7265625]|
190700.9350692366 |[931.15234375, 932.12890625, -17.578125, -25.87890625, 178.7109375]|
190700.93886856793 |[-613.76953125, -227.5390625, -88.37890625, -54.6875, -176.7578125]|
190700.94266789925 |[-1000.0, -1000.0, -95.21484375, -32.71484375, -227.05078125]|
190700.94607243213 |[327.63671875, -229.98046875, -14.16015625, -21.97265625, 183.59375]|
190700.94997427193 |[-903.80859375, 929.19921875, -2.44140625, -53.7109375, 270.5078125]|
